marca,modello,descrizione,immagine,prezzo
Travis Scott,Utopia Hoodie,"Felpa ufficiale Travis Scott Utopia nera oversized","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=1200&auto=format&fit=crop",129
Drake,OVO T-Shirt,"Maglietta OVO bianca edizione limitata","https://images.unsplash.com/photo-1503341504253-dff4815485f1?q=80&w=1200&auto=format&fit=crop",59
Kanye West,Donda Cap,"Cappello Donda nero ricamato","https://images.unsplash.com/photo-1521369909029-2afed882baee?q=80&w=1200&auto=format&fit=crop",45
Playboi Carti,Whole Lotta Red Hoodie,"Felpa rossa Whole Lotta Red","https://images.unsplash.com/photo-1507679799987-c73779587ccf?q=80&w=1200&auto=format&fit=crop",110
The Weeknd,After Hours Tee,"T-shirt ufficiale After Hours tour","https://images.unsplash.com/photo-1512436991641-6745cdb1723f?q=80&w=1200&auto=format&fit=crop",49
Bad Bunny,Un Verano Sin Ti Hoodie,"Felpa beige Bad Bunny tour","https://images.unsplash.com/photo-1483985988355-763728e1935b?q=80&w=1200&auto=format&fit=crop",95
21 Savage,Savage Mode Tee,"Maglietta nera Savage Mode","https://images.unsplash.com/photo-1523398002811-999ca8dec234?q=80&w=1200&auto=format&fit=crop",40
Sfera Ebbasta,X2VR Jacket,"Giacca ufficiale X2VR viola","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?q=80&w=1200&auto=format&fit=crop",149
Lazza,Sirio Hoodie,"Felpa Lazza Sirio limited","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?q=80&w=1200&auto=format&fit=crop",89
Geolier,Il Coraggio Dei Bambini Tee,"T-shirt tour Geolier","https://images.unsplash.com/photo-1527719327859-c6ce80353573?q=80&w=1200&auto=format&fit=crop",39
